Prefix:  ctg(ln(x+5))
Postfix: x 5 + ln ctg 
x=-9.788915, y=0.000000
x=-9.787914, y=0.000000
x=-9.786914, y=0.000000
x=-9.785913, y=0.000000
x=-9.784913, y=0.000000
x=-9.783913, y=0.000000
x=-9.782912, y=0.000000
x=-9.781912, y=0.000000
x=-9.780911, y=0.000000
x=-9.779911, y=0.000000
x=-9.778911, y=0.000000
x=-9.777910, y=0.000000
x=-9.776910, y=0.000000
x=-9.775909, y=0.000000
x=-9.774909, y=0.000000
x=-9.773909, y=0.000000
x=-9.772908, y=0.000000
x=-9.771908, y=0.000000
x=-9.770907, y=0.000000
x=-9.769907, y=0.000000
x=-9.768907, y=0.000000
x=-9.767906, y=0.000000
x=-9.766906, y=0.000000
x=-9.765905, y=0.000000
x=-9.764905, y=0.000000
x=-9.763905, y=0.000000
x=-9.762904, y=0.000000
x=-9.761904, y=0.000000
x=-9.760903, y=0.000000
x=-9.759903, y=0.000000
x=-9.758903, y=0.000000
x=-9.757902, y=0.000000
x=-9.756902, y=0.000000
x=-9.755901, y=0.000000
x=-9.754901, y=0.000000
x=-9.753901, y=0.000000
x=-9.752900, y=0.000000
x=-9.751900, y=0.000000
x=-9.750899, y=0.000000
x=-9.749899, y=0.000000
x=-9.748899, y=0.000000
x=-9.747898, y=0.000000
x=-9.746898, y=0.000000
x=-9.745897, y=0.000000
x=-9.744897, y=0.000000
x=-9.743896, y=0.000000
x=-9.742896, y=0.000000
x=-9.741896, y=0.000000
x=-9.740895, y=0.000000
x=-9.739895, y=0.000000
x=-9.738894, y=0.000000
x=-9.737894, y=0.000000
x=-9.736894, y=0.000000
x=-9.735893, y=0.000000
x=-9.734893, y=0.000000
x=-9.733892, y=0.000000
x=-9.732892, y=0.000000
x=-9.731892, y=0.000000
x=-9.730891, y=0.000000
x=-9.729891, y=0.000000
x=-9.728890, y=0.000000
x=-9.727890, y=0.000000
x=-9.726890, y=0.000000
x=-9.725889, y=0.000000
x=-9.724889, y=0.000000
x=-9.723888, y=0.000000
x=-9.722888, y=0.000000
x=-9.721888, y=0.000000
x=-9.720887, y=0.000000
x=-9.719887, y=0.000000
x=-9.718886, y=0.000000
x=-9.717886, y=0.000000
x=-9.716886, y=0.000000
x=-9.715885, y=0.000000
x=-9.714885, y=0.000000
x=-9.713884, y=0.000000
x=-9.712884, y=0.000000
x=-9.711884, y=0.000000
x=-9.710883, y=0.000000
x=-9.709883, y=0.000000
x=-9.708882, y=0.000000
x=-9.707882, y=0.000000
x=-9.706882, y=0.000000
x=-9.705881, y=0.000000
x=-9.704881, y=0.000000
x=-9.703880, y=0.000000
x=-9.702880, y=0.000000
x=-9.701880, y=0.000000
x=-9.700879, y=0.000000
x=-9.699879, y=0.000000
x=-9.698878, y=0.000000
x=-9.697878, y=0.000000
x=-9.696877, y=0.000000
