worker	project_id	task_id	resolution_type	start_ts	end_ts
login3	1	task_354	resolution_1	1576587901	1576588877
login3	2	task_355	resolution_1	1576849457	1576851175
login3	1	task_356	resolution_1	1576845635	1576846541
login3	1	task_357	resolution_1	1575790522	1575791055
login3	1	task_358	resolution_1	1575789788	1575790328
login3	2	task_359	resolution_1	1575898612	1575899382
login3	1	task_360	resolution_1	1575703967	1575705178
login3	1	task_361	resolution_1	1575802088	1575803321
login3	2	task_362	resolution_1	1575392925	1575394378
login3	1	task_363	resolution_1	1575802084	1575802708
login3	1	task_364	resolution_1	1576680856	1576681574
login3	2	task_365	resolution_1	1575804943	1575805458
login3	1	task_366	resolution_1	1575703929	1575704300
login3	1	task_367	resolution_1	1576680849	1576681828
login3	1	task_368	resolution_1	1576681579	1576682454
login3	1	task_369	resolution_1	1576682459	1576682994
login3	1	task_370	resolution_1	1576605961	1576607389
login3	1	task_371	resolution_1	1576843826	1576844692
login3	1	task_372	resolution_1	1576849779	1576851759
login3	2	task_373	resolution_1	1575898606	1575900731
login3	1	task_374	resolution_1	1575396376	1575397576
login3	1	task_375	resolution_1	1575893039	1575894212
login3	2	task_376	resolution_1	1575898615	1575900056
login3	1	task_377	resolution_1	1575395798	1575397109
login3	1	task_378	resolution_2	1576605954	1576606952
login3	2	task_379	resolution_1	1575392922	1575394554
login3	1	task_380	resolution_1	1576605949	1576606867
login3	1	task_381	resolution_1	1575395790	1575396364
login3	1	task_382	resolution_1	1576670320	1576670722
login3	1	task_383	resolution_1	1576605969	1576606550
login3	1	task_384	resolution_1	1575790894	1575791264
login3	1	task_385	resolution_1	1576605958	1576606217
login3	1	task_386	resolution_1	1575789341	1575790048
login3	1	task_387	resolution_1	1576670324	1576670880
login3	1	task_388	resolution_1	1575790080	1575790519
login3	2	task_389	resolution_2	1575703932	1575703959
login3	2	task_390	resolution_1	1575184104	1575184336
login3	1	task_391	resolution_1	1575986056	1575986798
login3	1	task_392	resolution_1	1575392795	1575392908
login3	2	task_393	resolution_1	1575994009	1575994225
login3	1	task_394	resolution_2	1576325479	1576325584
login3	1	task_395	resolution_2	1576325494	1576325644
login3	1	task_396	resolution_1	1576325485	1576326177
login3	1	task_397	resolution_1	1576325488	1576326318
login3	1	task_398	resolution_2	1576325491	1576325621
login3	2	task_399	resolution_1	1575984751	1575985230
login3	1	task_400	resolution_1	1576257035	1576257282
login3	1	task_401	resolution_1	1576327284	1576328586
login3	2	task_402	resolution_1	1576331949	1576333388
login3	2	task_403	resolution_1	1576334925	1576335203
login3	2	task_404	resolution_1	1576335360	1576336303
login3	2	task_405	resolution_1	1576511979	1576512132
login3	1	task_406	resolution_2	1576337494	1576337607
login3	1	task_407	resolution_1	1575708577	1575709370
login3	1	task_408	resolution_1	1575708185	1575709007
login3	1	task_409	resolution_1	1575995021	1575995323
login3	1	task_410	resolution_1	1575706615	1575708182
login3	2	task_411	resolution_1	1576854235	1576855475
login3	1	task_412	resolution_1	1576512293	1576513543
login3	1	task_413	resolution_1	1575984768	1575986326
login3	1	task_414	resolution_2	1576330930	1576331073
login3	1	task_415	resolution_1	1576504112	1576507011
login3	1	task_416	resolution_2	1576331497	1576331584
login3	1	task_417	resolution_1	1576330927	1576331038
login3	1	task_418	resolution_2	1575190924	1575190993
login3	2	task_419	resolution_1	1576849461	1576851553
login3	1	task_420	resolution_2	1576507515	1576507580
login3	1	task_421	resolution_1	1576512302	1576512691
login3	2	task_422	resolution_1	1576857223	1576857387
login3	1	task_423	resolution_1	1576847352	1576849775
login3	1	task_424	resolution_1	1576857447	1576858029
login3	1	task_425	resolution_1	1576498615	1576501824
login3	1	task_426	resolution_2	1575189240	1575189270
login3	1	task_427	resolution_1	1576515819	1576516088
login3	1	task_428	resolution_2	1575189060	1575189221
login3	1	task_429	resolution_1	1576502630	1576503555
login3	1	task_430	resolution_1	1576502636	1576503618
login3	1	task_431	resolution_1	1575400073	1575400191
login3	1	task_432	resolution_1	1576337499	1576339066
login3	2	task_433	resolution_1	1575984758	1575985479
login3	1	task_434	resolution_1	1576512299	1576512609
login3	1	task_435	resolution_1	1576512307	1576512764
login3	2	task_436	resolution_1	1576508961	1576509166
login3	1	task_437	resolution_1	1575990880	1575991227
login3	1	task_438	resolution_1	1575990876	1575991196
login3	1	task_439	resolution_1	1576512296	1576514247
login3	1	task_440	resolution_1	1575990884	1575991877
login3	1	task_441	resolution_1	1576512313	1576512880
login3	1	task_442	resolution_1	1575990883	1575991680
login3	1	task_443	resolution_1	1576512310	1576512815
login3	1	task_444	resolution_1	1575185627	1575186250
login3	1	task_445	resolution_2	1576502197	1576502422
login3	1	task_446	resolution_1	1575984759	1575986052
login3	1	task_447	resolution_2	1576502193	1576502414
login3	1	task_448	resolution_1	1576843820	1576844405
login3	1	task_449	resolution_1	1576498632	1576502014
login3	1	task_450	resolution_2	1576502187	1576502625
login3	1	task_451	resolution_1	1576845121	1576845578
login3	1	task_452	resolution_1	1576498805	1576502183
login3	1	task_453	resolution_1	1576498612	1576501754
login3	1	task_454	resolution_1	1576498626	1576501924
login3	1	task_455	resolution_2	1575398322	1575398486
login3	1	task_456	resolution_1	1576498629	1576499124
login3	1	task_457	resolution_1	1575995018	1575996462
login3	1	task_458	resolution_2	1575708566	1575708575
login3	1	task_459	resolution_1	1575705755	1575706609
login3	1	task_460	resolution_1	1575703917	1575706810
login3	1	task_461	resolution_1	1575398335	1575399309
login3	1	task_462	resolution_1	1575389895	1575390422
login3	2	task_463	resolution_1	1575709384	1575710430
login3	1	task_464	resolution_2	1575190994	1575191025
login3	1	task_465	resolution_1	1576589861	1576591440
login3	1	task_466	resolution_1	1575391027	1575391124
login3	1	task_467	resolution_1	1575189237	1575190922
login3	1	task_468	resolution_1	1576589848	1576591043
login3	1	task_469	resolution_1	1575391033	1575392262
login3	1	task_470	resolution_1	1575391031	1575391510
login3	1	task_471	resolution_1	1575980666	1575983437
login3	2	task_472	resolution_1	1576849452	1576851005
login3	1	task_473	resolution_1	1575387127	1575387832
login3	1	task_474	resolution_1	1575387473	1575387913
login3	1	task_475	resolution_1	1576587914	1576590835
login3	1	task_476	resolution_1	1575392801	1575393081
login3	1	task_477	resolution_1	1575392804	1575393350
login3	2	task_478	resolution_1	1575191048	1575191207
login3	1	task_479	resolution_1	1575387835	1575389591
login3	2	task_480	resolution_1	1576601229	1576601741
login3	1	task_481	resolution_1	1576600666	1576601198
login3	1	task_482	resolution_1	1575980024	1575982660
login3	1	task_483	resolution_1	1575980020	1575982163
login3	1	task_484	resolution_1	1576597680	1576599861
login3	1	task_485	resolution_1	1575392806	1575393301
login3	1	task_486	resolution_2	1576507547	1576507613
login3	1	task_487	resolution_2	1576498622	1576498828
login3	1	task_488	resolution_1	1575387478	1575388431
login3	1	task_489	resolution_1	1575708012	1575708761
login3	1	task_490	resolution_1	1576260669	1576261066
login3	1	task_491	resolution_2	1575189235	1575189585
login3	1	task_492	resolution_1	1575706813	1575708564
login3	1	task_493	resolution_1	1576847359	1576847756
login3	1	task_494	resolution_1	1576847344	1576847678
login3	1	task_495	resolution_1	1575706611	1575708010
login3	1	task_496	resolution_1	1575386846	1575387124
login3	1	task_497	resolution_1	1575189057	1575189199
login3	1	task_498	resolution_1	1576589856	1576593102
login3	1	task_499	resolution_1	1575984766	1575986171
login3	1	task_500	resolution_1	1576502204	1576503274
login3	1	task_501	resolution_1	1576502201	1576503063
login3	1	task_502	resolution_2	1576258322	1576258445
login3	1	task_503	resolution_1	1576847349	1576847927
login3	1	task_504	resolution_1	1576859969	1576861423
login3	1	task_505	resolution_1	1576258326	1576258862
login3	1	task_506	resolution_1	1576258866	1576259005
login3	1	task_507	resolution_1	1575386844	1575387470
login3	1	task_508	resolution_1	1575385335	1575386382
login3	1	task_509	resolution_2	1576258874	1576259431
login3	1	task_510	resolution_1	1576258878	1576259534
login3	1	task_511	resolution_1	1575385068	1575385548
login3	1	task_512	resolution_1	1576258870	1576260186
login3	1	task_513	resolution_1	1576846545	1576847340
login3	1	task_514	resolution_2	1575385551	1575385571
login3	1	task_515	resolution_2	1576260194	1576260245
login3	1	task_516	resolution_1	1576260207	1576260304
login3	1	task_517	resolution_1	1576589852	1576592377
login3	1	task_518	resolution_2	1576258881	1576259590
login3	1	task_519	resolution_1	1576260203	1576260430
login3	2	task_520	resolution_1	1575994007	1575994649
login3	1	task_521	resolution_1	1576515816	1576515987
login3	1	task_522	resolution_1	1575982166	1575984737
login3	1	task_523	resolution_1	1576852202	1576852372
login3	1	task_524	resolution_2	1575295549	1575295575
login3	1	task_525	resolution_1	1575464816	1575465032
login3	1	task_526	resolution_1	1576249961	1576250104
login3	1	task_527	resolution_1	1575476897	1575477739
login3	1	task_528	resolution_1	1575299694	1575301032
login3	1	task_529	resolution_1	1576082768	1576083338
login3	1	task_530	resolution_2	1576248602	1576248619
login3	2	task_531	resolution_1	1575287877	1575288898
login3	1	task_532	resolution_1	1576084022	1576084267
login3	1	task_533	resolution_1	1575467110	1575467725
login3	1	task_534	resolution_2	1575293255	1575293703
login3	1	task_535	resolution_2	1575467728	1575467772
login3	1	task_536	resolution_2	1575288907	1575288936
login3	1	task_537	resolution_1	1575385805	1575386842
login3	1	task_538	resolution_1	1575467121	1575470030
login3	1	task_539	resolution_2	1575470122	1575470131
login3	1	task_540	resolution_1	1575460764	1575461841
login3	2	task_541	resolution_1	1575907555	1575908503
login3	1	task_542	resolution_1	1576670327	1576671491
login3	1	task_543	resolution_1	1576084030	1576085576
login3	1	task_544	resolution_1	1576670330	1576671612
login3	1	task_545	resolution_1	1576077049	1576077352
login3	1	task_546	resolution_1	1575791267	1575791919
login3	1	task_547	resolution_1	1575293248	1575293959
login3	1	task_548	resolution_1	1575791939	1575792874
login3	1	task_549	resolution_1	1576253395	1576254336
login3	1	task_550	resolution_1	1576068917	1576069159
login3	2	task_551	resolution_1	1575298676	1575300539
login3	2	task_552	resolution_1	1575291338	1575293232
login3	2	task_553	resolution_1	1575303381	1575304328
login3	1	task_554	resolution_1	1575303973	1575305030
